HEADING, DESIRED_HEADING, FAN_PW
0, 1800, 3502
0, 1800, 3502
1, 1800, 3502
6, 1800, 3502
23, 1800, 3502
43, 1800, 3502
87, 1800, 3502
127, 1800, 3502
202, 1800, 3272
261, 1800, 2903
361, 1800, 2473
433, 1800, 2295
544, 1800, 2028
617, 1800, 2028
728, 1800, 2028
801, 1800, 2028
911, 1800, 2028
983, 1800, 2028
1091, 1800, 2028
1160, 1800, 2028
1256, 1800, 2028
1315, 1800, 2028
1394, 1800, 2028
1442, 1800, 2028
1505, 1800, 2028
1542, 1800, 2028
1589, 1800, 2031
1615, 1800, 2202
1647, 1800, 2294
1664, 1800, 2409
1686, 1800, 2446
1699, 1800, 2496
1715, 1800, 2542
1724, 1800, 2599
1736, 1800, 2581
1743, 1800, 2640
1752, 1800, 2627
1757, 1800, 2689
1763, 1800, 2680
1767, 1800, 2674
1772, 1800, 2667
1774, 1800, 2734
1777, 1800, 2729
1778, 1800, 2798
1780, 1800, 2725
1781, 1800, 2723
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1800, 2793
1781, 1805, 3011
1782, 1817, 3027
1785, 1825, 2965
1792, 1837, 2902
1798, 1845, 2905
1809, 1857, 2907
1817, 1865, 2837
1830, 1877, 2765
1838, 1885, 2835
1851, 1897, 2764
1859, 1905, 2834
1872, 1917, 2832
1880, 1925, 2832
1892, 1937, 2832
1899, 1945, 2834
1910, 1957, 2835
1917, 1965, 2837
1929, 1977, 2837
1937, 1985, 2837
1950, 1997, 2765
1958, 2005, 2835
1971, 2017, 2834
1980, 2025, 2762
1992, 2037, 2832
2000, 2045, 2832
2011, 2057, 2904
2019, 2065, 2834
2030, 2077, 2835
2037, 2085, 2837
2049, 2097, 2837
2057, 2105, 2837
2070, 2117, 2835
2078, 2125, 2835
2091, 2137, 2834
2100, 2145, 2832
2112, 2157, 2832
2120, 2165, 2832
2131, 2177, 2904
2139, 2185, 2834
2149, 2197, 2907
2157, 2205, 2837
2169, 2217, 2837
2178, 2225, 2765
2190, 2237, 2835
2199, 2245, 2834
2212, 2257, 2762
2220, 2265, 2832
2231, 2277, 2904
2239, 2285, 2834
2250, 2297, 2835
2257, 2305, 2837
2268, 2317, 2908
2276, 2325, 2838
2289, 2337, 2837
2297, 2345, 2837
2310, 2357, 2835
2319, 2365, 2764
2332, 2377, 2762
2340, 2385, 2832
2352, 2397, 2832
2360, 2405, 2832
2371, 2417, 2904
2379, 2425, 2834
2390, 2437, 2835
2398, 2445, 2835
2410, 2457, 2835
2418, 2465, 2835
2431, 2477, 2834
2439, 2485, 2834
2452, 2497, 2832
2460, 2505, 2832
2471, 2517, 2834
2479, 2525, 2834
2489, 2537, 2907
2497, 2545, 2837
2509, 2557, 2837
2517, 2565, 2837
2529, 2577, 2837
2538, 2585, 2835
2551, 2597, 2834
2560, 2605, 2762
2572, 2617, 2832
2580, 2625, 2832
2592, 2637, 2832
2599, 2645, 2904
2610, 2657, 2905
2618, 2665, 2835
2630, 2677, 2835
2638, 2685, 2835
2650, 2697, 2835
2659, 2705, 2834
2672, 2717, 2762
2680, 2725, 2832
2692, 2737, 2832
2699, 2745, 2834
2710, 2758, 2837
2717, 2766, 2838
2728, 2778, 2910
2736, 2786, 2840
2749, 2798, 2838
2757, 1695, 2028
2770, 1695, 2028
2778, 1695, 2028
2790, 1695, 2028
2797, 1695, 2028
2808, 1695, 2028
2814, 1695, 2028
2820, 1695, 2028
2820, 1695, 2028
2813, 1695, 2028
2803, 1695, 2028
2781, 1695, 2028
2762, 1695, 2028
2725, 1695, 2130
2696, 1695, 2313
2648, 1695, 2525
2614, 1695, 2576
2561, 1695, 2726
2526, 1695, 2778
2473, 1695, 2858
2438, 1695, 2910
2387, 1695, 2917
2352, 1695, 2969
2301, 1695, 3046
2268, 1695, 3095
2220, 1695, 3027
2192, 1695, 2929
2153, 1695, 2918
2130, 1695, 2882
2097, 1695, 2932
2077, 1695, 2892
2049, 1695, 2864
2032, 1695, 2819
2007, 1695, 2857
1991, 1695, 2881
1970, 1695, 2842
1956, 1695, 2863
1938, 1695, 2820
1926, 1695, 2838
1909, 1695, 2864
1899, 1695, 2809
1885, 1695, 2760
1876, 1695, 2773
1863, 1695, 2793
1855, 1695, 2805
1843, 1695, 2823
1836, 1695, 2833
1825, 1695, 2780
1818, 1695, 2860
1809, 1695, 2804
1804, 1695, 2811
1797, 1695, 2752
1792, 1695, 2829
1786, 1695, 2768
1782, 1695, 2774
1776, 1695, 2783
1773, 1695, 2788
1769, 1695, 2724
1766, 1695, 2728
1763, 1695, 2733
1761, 1695, 2736
1758, 1695, 2740
1757, 1695, 2742
1755, 1695, 2745
1754, 1695, 2676
1752, 1695, 2749
1752, 1695, 2679
1750, 1695, 2752
1750, 1695, 2682
1749, 1695, 2684
1748, 1695, 2755
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1695, 2685
1748, 1678, 2028
1748, 1630, 2028
1746, 1598, 2028
1737, 1550, 2028
1726, 1518, 2028
1702, 1470, 2028
1682, 1438, 2049
1644, 1390, 2244
1615, 1358, 2309
1566, 1310, 2451
1532, 1278, 2454
1479, 1230, 2531
1442, 1198, 2609
1387, 1150, 2549
1349, 1118, 2628
1292, 1070, 2642
1253, 1038, 2722
1196, 990, 2666
1157, 958, 2676
1100, 910, 2690
1061, 878, 2700
1004, 830, 2714
966, 798, 2723
910, 750, 2665
872, 718, 2744
817, 670, 2684
780, 638, 2692
725, 590, 2772
689, 558, 2708
634, 510, 2789
599, 478, 2723
545, 430, 2732
510, 398, 2737
458, 350, 2673
423, 318, 2677
371, 270, 2683
336, 238, 2688
284, 190, 2694
250, 158, 2697
198, 110, 2773
164, 78, 2706
113, 30, 2710
80, 3598, 2642
30, 3550, 2645
3597, 3518, 2646
3548, 3470, 2648
3515, 3438, 2649
3466, 3390, 2651
3433, 3359, 2724
3384, 3311, 2655
3351, 3279, 2727
3302, 3231, 2728
3270, 3199, 2658
3221, 3151, 2660
3188, 3119, 2661
3139, 3071, 2663
3106, 3039, 2734
3057, 2991, 2736
3025, 2959, 2666
2976, 2911, 2667
2943, 2879, 2739
2894, 2831, 2740
2862, 2799, 2670
2813, 2751, 2672
2780, 2719, 2743
2732, 2671, 2673
2699, 2639, 2745
2651, 2591, 2675
2618, 2559, 2676
2570, 2511, 2676
2537, 2479, 2748
2489, 2431, 2678
2457, 2399, 2678
2408, 2351, 2679
2376, 2319, 2679
2328, 2271, 2679
2296, 2239, 2679
2247, 2191, 2681
2215, 2159, 2681
2167, 2111, 2681
2135, 2079, 2681
2087, 2031, 2681
2055, 1999, 2681
2006, 1951, 2682
1974, 1919, 2682
1926, 1871, 2682
1894, 1839, 2682
1846, 1791, 2682
1814, 1759, 2682
1766, 1711, 2682
1734, 1679, 2682
1686, 1631, 2682
1654, 1599, 2682
1606, 1551, 2682
1574, 1519, 2682
1526, 1471, 2682
1494, 1439, 2682
1446, 1391, 2682
1414, 1359, 2682
1366, 1311, 2682
1334, 26, 2028
1286, 26, 2028
1252, 26, 2116
